text,label,pred
a severe backwards step for the puppets in this mainly dull and tedious outing guy rolfe so fantastic as andre toulon in part three barely features this time and richard bands fantastical them tune appears with the puppets a fair few minutes in to the film for the start of the movie we are introduced to the caretaker of bodega bay inn gordon currie and some youth friends of his many of the cast are canadian and are all very good in unfortunately rather undemanding roles  teresa hill is quite yummy totems minions of the egyptian god sutek want the secret of animation life back and the puppets when they surface act with a previously unseen cleverness to attempt to destroy the ugly and very computer game looking totems the totems merely complicate the series and distract from the things that previously made the series so unique  they dont share the weird beauty of the puppets and thus dont really fit in top scene is pinhead using a rag to clean blood from tunnelers drill bit classic and about the goriest this film goes the fifth film was filmed concurrently with this one so expect similar sections of mediocre and a toulon performance that seems to have been filmed in a different era or even galaxy guy rolfe deserved better and series fans certainly do grrrrrrr,0,1
but i still enjoyed watching her so i gave it a  instead of a  her expressions are priceless some of the other cast members eg michael mckean are really slumming too the cat himself is somewhat amusing aside from that the movie is all cliche culminating in a muchtoolong car chase its also at this point that the movie becomes unnecessarily crude having been very family until then,0,1
i rented this movie because elijah wood has done some good work and i thought this might be an overlooked treasure it was not a treasure i dont know if this was straight to video but it should have been straight to the dump  elijah wood fans will like the fact that he appears shirtless in a muchtoobrief shower scene but no sane person would like this script imagine memento played by teen actors but ten times more confusing and a hundred times less plausible case in point janeane garofalo plays a caring psychologist apparently keeping the chain of mediocrity alive  as if false memories syndromes and mindovermatter medicine werent hokey enough the movie also hinges on one of those unexplained psychic twin bonds that keep the plot moving and the audience baffled this same twin bond creates a few too many contrived love scenes between woods character and the girl from shes all that who plays the saintly sister of woods angry cancervictim friend  adding to the triteness of this screenplay woods other friends are a mentally challenged cancer victim and kidney a young black boy afflicted with a mysterious kidney disease kidneys dying wish comes true when dr garofalo gives him his own walkman this characters hackneyed function in the story is matched by his onagain offagain relationship to walking usually bound to a wheelchair kidney has several inexplicable scenes showing him pushing others around in it  kindeys characterization may be one small detail but it is indicative of this films many other flaws the bumblebee flies anyway is definitely bumbling but it never flies,0,1
this is the slowest film noir film ive ever seen very weak script only provides opportunity for jack palance and rod steiger to deliver exceptionally well lines that were made for an acting audition palance and steiger both affirm they are indeed serious actors who can portray their respective roles with power emotion and drama the story itself moves at an incredibly slow pace mostly taking place in a living room the director obviously moved the actors around in a rythmatic circles as they delivered exhaustingly long lines to keep the slow pace from becoming noticeable to the audience the action doesnt pick up until the last ten minutes of the film if youre one whos looking for more depth in a crime drama this ones not for you,0,1
what really amazed me about this film was that it ringed so false first of all who in the late s when the film takes placelived like this family a college professor wouldnt make enough money to support the lifestyle i saw on the film hence he and his stay home wife would be plagued by financial woes especially when she gets cancer second streep is my age and most women particularly in her class educated white well off experienced the feminist movement yet this woman seems oblivious to her anachronistic behavior i actually felt that she was a very controlling woman who kept her husband an emotional child by taking care of his every need  the fact that so many people were moved by the film is amazing i have admired carl franklins films in the past and i actually like meryl streep but gad what a manipulative and lying film this is,0,1
i really enjoyed the first film and when it turned up again without thinking or checking i took a family of friends to see it i was ashamed that i had enthused so much about it to them  disney processed the original film just like the human body processes a delicious meal  takes in something good and turns out  well you know and by having a darkskinned person as the fbi man the results of fingerprinting the informant were subdued  taken as an isolated film i suppose it is not too bad if one likes that weird sort of thing but when one has read the book or seen the first film  horrible,0,1
what we know of caravaggio suggests a strutting brawler with a healthy sense of entitlement who lived amongst whores and thieves and hustlers and put them on canvas his works themes were sex death redemption above all finding the sacred within the profane he lived at a time where homosexuality carried a death sentence and political intrigue normally involved fatalities in a society defined by the maxim strangling the boy for the purity of his scream  you cant fault derek jarman for his cinematography nor his recreations of caravaggios paintings and you certainly cant accuse the man of shying away from the homosexuality but frankly jarman never strays beyond s caricature italian patronage becomes the s london art scene complete with pretty waiters and calculators sean bean is a sexy bit of northern rough oiling his motorbike tilda swinton performs a transformation worthy of a mills and boons why miss lena without that gypsy headscarf youre beautiful jarman provides caravaggio with a particularly trite motive for the murder which left him exiled  this could have been a visually stunning treatment of a man whose life was dangerous exciting violent and decadent but who nonetheless elevated the lives of ordinary people to the status of renaissance masterpieces looked on by emperors and kings instead what you get is pierre et gilles do italy the pretty bodies of young boys are shown to perfection but never the men who inhabit them jarman appears to satirise the london art scene showing it shallow and pretentious to use caravaggio and renaissance italy to make the point is to use a silk purse to make a pigs ear in fairness this film remains visually stunning but ultimately as two dimensional as the paintings it describes,0,1
dont get me wrong ive got a considerable soft spot for the works of charles band both as producer and director but youve got to raise an eyebrow when the man who was willing to put his name to dollman vs the demonic toys sticks a pseudonym on anything as a bit of badmovie fun head of the family is rather lacking although it is better acted than you might expect jacqueline lovell is a definite talent who deserves better than these kinds of movies jw perra is also quite funny as the titular monster though for such a superintelligent being he does get hoodwinked quite easily yknow im nitpicking because the rest of the movie is so sharp and witty of course  and having a lead character called lance bogan nice one guys we didnt know you americans knew that piece of slang,0,1
saw this movie at a saturday matine with a friend theater was about  full  although there are quite a few funny lines it is more of a dramasuspense with humor sprinkled on top robin williams gives a decent performance as does laura linney being a daily show fan lewis black is pretty good in this christopher walken gives a good performance also   the movie starts out slow and remains that way for about the first thirty minutes then the suspense part kicks in and starts keeping you a little on edge throughout the rest of the movie suspense in a supposed comedy movie i know that i as well as everybody else in the place was struggling a bit with this a character would crack a joke during suspense sequence and you would hear just one or two laughs in the theater   in all fairness after the movie was over there was smattering of applause so definitely some people enjoyed this movie  i gave this movie a four out of ten because i believe the comedy aspect doesnt work very well in a suspensedrama movie and the actors performances while not bad were just decent   again this movie isnt what was advertised,0,1
this movie changed my life hogans performance was nothing short of incredible and i still havent recovered from his exclusion from the  oscar nominations and as brightly as the hulkster shines in this movie you cant discount the brilliant writing and direction that vaults this masterpiece in to the highest strata of achievement in film if you havent seen this movie drop what your doing right now and get yourself a copy i guarantee it will blow your mind and if you dont like it then i just have one question for you watcha gonna do when the  inch pythons and hulkamania runs wild on you,0,1
