text,label,pred
when i began watching i thought i was watching some prokoresh amateur documentary however i had never seen  of the footage they used they interviewed people saying that the fbiatf instigated all these things which sounded so far fetched but then followed in up with fbi video and testimony i was amazed the documentary followed up with the senate investigation after the fire and after seeing the interview and video footage you will be shocked at how the senate and attorney general turn their backs on davidians basically to cover up the aggression by the fbiatf if you start watching this you must finish it otherwise you will think it is propaganda of something like that,1,0
this would definitely not have been my kind of movie but my husband saw it on tv and said it was really good so on his recommendation i bought a copy since i didnt know if it would ever be on tv again i had never heard of anybody in it except armand assante at first i had a hard time getting into the story because the first part of the movie is a jumble of images and it doesnt make much sense it is only later in the movie that it all comes together the scenecutting if thats what its called is a bit jarring it sometimes looks as if a few frames have been cut out of each scene and the scenes are jerkybut i guess that was done to add to the unusualness if thats a word the story veers here and there and just about the time you have it all figured out everything turns upside down and you have to readjust your thinking as to who is the bad guy and who is not or bad woman the acting is very good i kept thinking how much norman reedus looks like leo decaprio the ending was a real twist totally unexpected which i liked a good show,1,0
i find this film meretricious tentative lethargic and skillfully a bad choice of entertainment on celluloid but i admire the courage to throw away a script turn the camera on and act a fool i find the inauspiciously performances lighting cinematography sound and whatever film school laws d urville martin broke funny speaking from a film directors perspective there is times i just want to drop everything and have fun on the set this film looks like fun when other aspiring film directors ask me advice i just tell them to watch any film by rudy ray moore they always return a puzzled look asking me why not watch the masters woody allen scorsese lucas capra i laugh and include that you always want to know what not to do in cinematic story telling first,1,0
okay  so this wasnt what i was expecting i rented this film just to see how it would be since i want to see the first one anyway but  this film had bmovie all over it but when i watched it i realized that it was very funny for the first  minutes it was just how the snowman was kiiling people and one man losing his sanity but  those first few minutes had some funny one liners in it when he throws up the first of his little minions i knew this would be very very funny they all act like the gremlins in the ninteen eighty four hit gremlins that it made it look like it was spoofing it and made me forget it was a bmovie so if you like to laugh rent this one,1,0
as roger corman has said in an interview lowbudget filmmaking enables filmmakers to take chances on offbeat ideas well youd be hard pressed to find a film that thrives on the offbeat as mightily as george barrys death bed the bed that eats  the film does have a back story to it and its an interesting one at that ill forgo relaying any sort of details so you can hear them for yourself if you take a chance on watching it suffice it to say the title item of furniture has an insatiable hunger consuming the unwary with a bubbling yellow foam that dissolves its victims like acid  death bed is an eerie haunting little flick that plays out its absurd premise in such a way that it transcends the usual assortment of schlock fare it occupies its particular dream world in such a way that it was possible for me to take it seriously its a truly strange and unconventional horror flick it dabbles in exploitative ingredients  theres some tasty dollops of female nudity  and yet is also art albeit art with a completely skewed sensibility  the special effects are not too bad for a film with a microscopic budget and barry gives the film a good and atmospheric midnight movie quality the acting from the cast is as uninspired as one could imagine although patrick spencethomas lends a reasonable amount of gravitas as the artist  narrator and one definite point of interest is seeing one familiar face on hand future boy meets world father william russ  this film might not have even found the small cult following that it does have were it not for pirated copies making the rounds this certainly has to rank as one of the instances where such a practice ultimately ended up helping the film  even if the exposure took years to take hold  if you have a taste for truly bizarre obscure items death bed may be just what youve got in mind,1,0
begottenthe magicthe terrorthe slight boredom  that begotten is for acquired tastes goes without sayingyou dont just happen to watch it unless your friends are real arthouse movie buffsyou must dig the weirdthe macabrethe bizarreyou must dig cool flicksand you must dig to find diamonds  begotten is one of the most visually dazzling and mystifying films ever known to manthe visual part is something to beholdsomething no one can prepare you forbut since the film is devoid of any type of dialoguethe visual part is pretty much the only partbegotten is a visual filmthe soundscapes created for the film are magical and groundbreaking but stillthe sight of it  god commits suicide in a particularly gory scene then from his corpse rises mother earth who impregnates herself with gods semen and gives birth to flesh on bonea retarded childshe then abandons himand he gets tortured by heathenlike creaturesmother comes back to save him but she and her son get murdered by the horrible creatures  the film is about the meaninglessness of lifeand about the fact that we come to this planet to suffer and to dieand that when something dies something else is born etcnihilism  the films no quality is of course the visualsthe settingthose haunting imagesthis otherworldly qualityafter youre done watchingyou feel like an alienits that mesmerizing  when people say it should last  instead of  theyre rightno theyre notit could last its just that everything happens to such a slow pacein factthe plot summary i provided is all that happens in the filmlike no kiddingstillitsi dont knowglorious   like a flame burning away the darkness,1,0
well i can safely say im human wong and i didnt throw up i laughed and laughed if this movie made you puke there is something wrong with you but this movie is incredible i bought it four days ago and have watched it  times already the animal cruelty gets my heart but not long enough to be guilty the movie is shocking disgusting and vulgar the acting is horrific what else do you want from a movie i am a diehard cult film maniac pink flamingos is awesome it makes rocky horror as someone has said look like the teletubbies,1,0
this belongs in their top tier although there were others such as microphonies and punch drunks that were more deserving of oscar nominations than this one but if nothing else the recurring loudspeaker announcement dr howard dr fine dr howard followed by curlys woo woo woo woo makes this a classic on two levels first it symbolizes all that the stooges represent my daughter loves to repeat the announcement when she is in the middle of doing something silly second the absurdity of these three as physicians in a hospital i imagine the terror i would feel if i were a real patient in a real hospital and heard this announcement over the loudspeaker throughout this short you hear that announcement and you know that something horrible is about to happen and the loudspeaker voice stays with you for months afterward,1,0
golden boy is ecchi humor bordering on hentai in the guise of educational moments the main character kintaro wanders around getting himself into the silliest situations involving women its just that hes shy on the surface but analyses everything until he can learn something from it the most striking feature of the series are the circumstances surrounding his education which are outright embarrassing yet funny at the same time,1,0
i was flipping through the channels and had to stop and laugh when i came across this movie it was so clearly about teens in the early s and i called my mom hahaha turn to channel such and such the kid totally looks like if dad were a kid  um yeah turns out this movie is about my dad  his friends  even without it being about loosely based on my dads childhood id say watch this movie   it is justbizarre to say the least the apathy instilled in teens even back then this is a good human interest and showcases some strange sides of the psyche,1,0
